GEOID,STATEFP,COUNTYFP,TRACTCE,Diversity_PCA1,Diversity_PCA2,stnd_Diversity_PCA1,stnd_Diversity_PCA2
37051001701,37,51,1701,-0.049595834,-1.721066013,98.76010414,56.97334968
37051001702,37,51,1702,-0.467324572,-0.944926656,88.3168857,76.3768336
37051001800,37,51,1800,-0.681484712,-0.62061592,82.96288221,84.48460199
37051001901,37,51,1901,0.020145082,-0.387615557,100.503627,90.30961108
37051001902,37,51,1902,-0.203283591,-1.640961689,94.91791022,58.97595779
37051001903,37,51,1903,-0.339462072,-0.645220999,91.5134482,83.86947503
37051002001,37,51,2001,-1.332235478,0.193970481,66.69411305,104.849262
37051002002,37,51,2002,-1.045889642,-0.356289371,73.85275894,91.09276572
37051002100,37,51,2100,-0.835611655,0.039779681,79.10970863,100.994492
37051002200,37,51,2200,-0.84988321,0.705715525,78.75291976,117.6428881
37051002301,37,51,2301,-1.091736295,0.191828994,72.70659263,104.7957249
37051002302,37,51,2302,-0.19809789,0.247927754,95.04755274,106.1981938
37051002401,37,51,2401,-1.057323272,-0.413971219,73.5669182,89.65071951
37051002402,37,51,2402,-1.120549892,0.396107297,71.98625269,109.9026824
37051002503,37,51,2503,-0.812091489,0.187690276,79.69771278,104.6922569
37051002504,37,51,2504,0.095281716,-0.072234496,102.3820429,98.19413761
37051002505,37,51,2505,-0.182087003,0.468599717,95.44782492,111.7149929
37051003102,37,51,3102,0.671862979,-0.240660415,116.7965745,93.98348962
37051003103,37,51,3103,0.595546244,-1.062465924,114.8886561,73.4383519
37051003105,37,51,3105,0.766615553,-0.400171419,119.1653888,89.99571452
37051003203,37,51,3203,-0.89960815,-0.267518526,77.50979625,93.31203685
37051003205,37,51,3205,0.080516038,-1.601067389,102.0129009,59.97331529
37051003206,37,51,3206,1.143700013,-1.778307148,128.5925003,55.5423213
37051003207,37,51,3207,0.887200536,-1.088054473,122.1800134,72.79863817
37051003208,37,51,3208,-1.203322629,-0.138747712,69.91693427,96.53130719
37051003209,37,51,3209,-0.194835557,-1.089926559,95.12911107,72.75183602
37051003302,37,51,3302,-1.21808026,0.100407807,69.54799351,102.5101952
37051003304,37,51,3304,-1.044189946,-0.64181032,73.89525136,83.954742
37051003307,37,51,3307,-0.300204784,-0.450110981,92.4948804,88.74722548
37051003310,37,51,3310,-0.925706969,-0.565732564,76.85732577,85.85668589
37051003312,37,51,3312,-0.342402196,-1.990447139,91.43994509,50.23882152
37051003313,37,51,3313,-0.150515163,-1.788975708,96.23712093,55.27560729
37051003314,37,51,3314,-0.389247113,-0.843106479,90.26882217,78.92233803
37051003315,37,51,3315,-0.588265594,-0.271041993,85.29336016,93.22395017
37051003317,37,51,3317,-0.402768969,-0.126170542,89.93077578,96.84573646
37051003318,37,51,3318,-1.136934796,0.11220331,71.5766301,102.8050828
37051003401,37,51,3401,-0.393556187,0.260392044,90.16109532,106.5098011
37051003403,37,51,3403,-0.518487764,-0.030196522,87.0378059,99.24508696
37051003408,37,51,3408,-0.747466718,0.915408502,81.31333206,122.8852126
37051003409,37,51,3409,0.350273056,-0.471730232,108.7568264,88.20674419
37051003410,37,51,3410,-0.08372082,0.242446366,97.90697949,106.0611592
37051003501,37,51,3501,-1.536414926,0.087183806,61.58962685,102.1795952
37051003502,37,51,3502,-1.135000595,0.17050545,71.62498512,104.2626363
37051003601,37,51,3601,-0.453053561,0.959647629,88.67366098,123.9911907
37051003800,37,51,3800,-1.211659569,-0.609753401,69.70851078,84.75616497
37055970101,37,55,970101,2.024307496,0.201249398,150.6076874,105.031235
37055970200,37,55,970200,0.841818305,0.102723268,121.0454576,102.5680817
37055970302,37,55,970302,0.546886811,0.701975395,113.6721703,117.5493849
37055970601,37,55,970601,0.917187963,1.066794311,122.9296991,126.6698578
37057060202,37,57,60202,1.444042375,1.13391039,136.1010594,128.3477598
37057060203,37,57,60203,1.754883768,0.21012738,143.8720942,105.2531845
37057060301,37,57,60301,1.633333996,0.62303404,140.8333499,115.575851
37057060302,37,57,60302,1.445219073,1.03421501,136.1304768,125.8553752
37057060700,37,57,60700,-0.354058343,-1.263805044,91.14854143,68.4048739
37057060800,37,57,60800,-0.586268771,-0.465495033,85.34328074,88.36262417
37057060900,37,57,60900,0.535570262,-0.389792537,113.3892566,90.25518657
37057061000,37,57,61000,-0.37312297,-0.162851814,90.67192576,95.92870465
37057061101,37,57,61101,0.9027244,0.222488858,122.56811,105.5622215
37057061102,37,57,61102,1.5552936,0.612750984,138.88234,115.3187746
37057061203,37,57,61203,-0.024602513,0.957299334,99.38493718,123.9324833
37057061300,37,57,61300,-0.67722825,0.047936793,83.06929376,101.1984198
37057061400,37,57,61400,-0.528689563,-0.31190208,86.78276094,92.20244801
37057061501,37,57,61501,-0.629672168,-0.362166802,84.25819581,90.94582996
37057061502,37,57,61502,1.298045373,-0.747363635,132.4511343,81.31590913
37057061600,37,57,61600,0.028702639,0.524756142,100.717566,113.1189036
37057061701,37,57,61701,1.282509389,1.038129609,132.0627347,125.9532402
37059080301,37,59,80301,1.282640103,0.922928871,132.0660026,123.0732218
37059080500,37,59,80500,0.951345225,0.368255755,123.7836306,109.2063939
37061090706,37,61,90706,0.572917554,-0.415856434,114.3229389,89.60358915
37063000101,37,63,101,0.460173887,-2.599067862,111.5043472,35.02330345
37063000102,37,63,102,-0.705455857,-0.404186771,82.36360357,89.89533072
37063000200,37,63,200,-0.720066354,0.468354135,81.99834116,111.7088534
37063000301,37,63,301,-1.262810005,0.579388489,68.42974989,114.4847122
37063000401,37,63,401,0.932558223,-0.702185623,123.3139556,82.44535943
37063000402,37,63,402,-0.779241514,1.133195307,80.51896214,128.3298827
37063000500,37,63,500,-1.393491468,0.401881737,65.1627133,110.0470434
37063000600,37,63,600,0.057593506,0.311840964,101.4398376,107.7960241
37063000700,37,63,700,-0.208916929,0.232940623,94.77707678,105.8235156
37063000900,37,63,900,-1.230088995,-1.043634346,69.24777513,73.90914135
37063001001,37,63,1001,-1.521868414,-0.760887958,61.95328965,80.97780106
37063001002,37,63,1002,-1.594940602,-0.333764453,60.12648496,91.65588868
37063001100,37,63,1100,-2.295175852,0.143001119,42.62060369,103.575028
37063001301,37,63,1301,-1.668695411,-0.69347098,58.28261473,82.6632255
37063001303,37,63,1303,-1.122055418,-2.317622348,71.94861456,42.05944131
37063001304,37,63,1304,-1.197847053,-0.68377883,70.05382367,82.90552924
37063001400,37,63,1400,-1.929311458,-0.608388026,51.76721355,84.79029935
37063001501,37,63,1501,-1.454467427,-0.893746598,63.63831433,77.65633504
37063001503,37,63,1503,-0.19347138,-3.302792957,95.1632155,17.43017608
37063001504,37,63,1504,-1.160877062,-0.360896341,70.97807346,90.97759148
37063001505,37,63,1505,-1.595981477,-0.754835108,60.10046307,81.12912229
37063001601,37,63,1601,1.625973491,-1.551905816,140.6493373,61.20235459
37063001604,37,63,1604,2.042579533,-0.859646831,151.0644883,78.50882923
37063001705,37,63,1705,0.002055229,-0.285245796,100.0513807,92.86885509
37063001706,37,63,1706,-0.259605931,1.347784596,93.50985173,133.6946149
37063001708,37,63,1708,-0.181520346,-1.057875189,95.46199136,73.55312027
37063001710,37,63,1710,-0.630593573,-0.087572711,84.23516066,97.81068223
37063001711,37,63,1711,-0.969500289,0.725660459,75.76249278,118.1415115
37063001712,37,63,1712,0.824872716,1.542477922,120.6218179,138.5619481
37063001713,37,63,1713,1.244536058,-0.380523536,131.1134015,90.48691161
37063001802,37,63,1802,-0.783425581,-0.803208828,80.41436047,79.9197793
37063001809,37,63,1809,-0.563281964,0.649295131,85.91795091,116.2323783
37063001810,37,63,1810,-0.611332,-0.37022579,84.7167,90.74435524
37063001811,37,63,1811,0.251964497,-2.529687688,106.2991124,36.7578078
37063002007,37,63,2007,0.302739522,0.357274187,107.5684881,108.9318547
37063002008,37,63,2008,2.020305653,-0.442043836,150.5076413,88.9489041
37063002009,37,63,2009,-0.453002996,-2.080634814,88.67492511,47.98412965
37063002013,37,63,2013,0.827178904,-0.578156872,120.6794726,85.54607819
37063002015,37,63,2015,-1.281032055,0.184775769,67.97419861,104.6193942
37063002021,37,63,2021,-0.848770466,0.60010317,78.78073836,115.0025793
37063002022,37,63,2022,-0.917253489,0.835314782,77.06866276,120.8828696
37063002023,37,63,2023,-0.006946396,1.321262299,99.82634011,133.0315575
37063002024,37,63,2024,-0.152975575,0.992525065,96.17561063,124.8131266
37063002025,37,63,2025,-0.253599635,-0.554278138,93.66000912,86.14304654
37063002026,37,63,2026,-1.185833901,0.132216697,70.35415247,103.3054174
37063002029,37,63,2029,0.106571983,1.472116296,102.6642996,136.8029074
37063002031,37,63,2031,-1.440029481,0.350917333,63.99926298,108.7729333
37063002032,37,63,2032,-0.097600114,-1.549799852,97.55999716,61.25500371
37063002033,37,63,2033,0.415366386,1.291921329,110.3841597,132.2980332
37063002034,37,63,2034,-0.026729553,1.217025652,99.33176118,130.4256413
37063002035,37,63,2035,-0.669239877,0.627608301,83.26900307,115.6902075
37063002200,37,63,2200,-1.321300607,-0.155719246,66.96748483,96.10701885
37063002300,37,63,2300,-2.101598244,0.30358584,47.46004389,107.589646
37065020300,37,65,20300,-0.652852417,-0.721643096,83.67868958,81.95892259
37065020400,37,65,20400,0.017784901,-2.00678576,100.4446225,49.830356
37065021000,37,65,21000,-0.023005985,-0.736775682,99.42485037,81.58060795
37067000100,37,67,100,-1.371769937,-0.707968239,65.70575158,82.30079402
37067000200,37,67,200,-1.371535405,-0.002024629,65.71161488,99.94938428
37067000301,37,67,301,-2.161006634,-0.326969476,45.97483415,91.8257631
37067000302,37,67,302,-1.089805916,-2.780098554,72.75485211,30.49753615
37067000400,37,67,400,-1.545433726,-1.674012285,61.36415685,58.14969288
37067000500,37,67,500,-1.732493368,-1.092453489,56.6876658,72.68866278
37067000600,37,67,600,-2.24980704,-0.470978343,43.754824,88.22554144
37067000700,37,67,700,-2.416410206,-0.40255395,39.58974485,89.93615124
37067000801,37,67,801,-1.844208372,-1.085829509,53.89479071,72.85426228
37067000802,37,67,802,-1.931323988,-0.311188488,51.7169003,92.2202878
37067000900,37,67,900,-1.40710373,0.761980661,64.82240675,119.0495165
37067001000,37,67,1000,-0.869866657,-0.04673199,78.25333358,98.83170026
37067001100,37,67,1100,-1.20799781,1.342130313,69.80005476,133.5532578
37067001200,37,67,1200,0.306518404,-1.137235775,107.6629601,71.56910562
37067001300,37,67,1300,0.183271199,1.537180803,104.58178,138.4295201
37067001400,37,67,1400,-1.318367774,-0.728878801,67.04080565,81.77802998
37067001500,37,67,1500,-0.441403625,-1.973097559,88.96490938,50.67256103
37067001601,37,67,1601,-0.066683166,-2.867584929,98.33292086,28.31037679
37067001602,37,67,1602,-1.377861938,-0.826592406,65.55345155,79.33518986
37067001700,37,67,1700,-0.308464107,-0.952337448,92.28839731,76.19156381
37067001800,37,67,1800,-0.200220602,-2.550427394,94.99448494,36.23931514
37067001901,37,67,1901,-0.775214177,-2.455596088,80.61964556,38.61009779
37067001902,37,67,1902,-0.141816578,-1.449199539,96.45458554,63.77001153
37067002001,37,67,2001,-0.577563722,-2.153125662,85.56090695,46.17185845
37067002002,37,67,2002,-0.725086109,-0.718669854,81.87284728,82.03325364
37067002100,37,67,2100,0.277309831,-1.192493988,106.9327458,70.18765031
37067002200,37,67,2200,-0.449287447,0.366058963,88.76781382,109.1514741
37067002501,37,67,2501,1.04981005,0.939063596,126.2452512,123.4765899
37067002502,37,67,2502,1.797242488,-0.502496212,144.9310622,87.43759469
37067002601,37,67,2601,1.316452816,-0.34318092,132.9113204,91.42047701
37067002604,37,67,2604,0.853902902,-1.032621976,121.3475725,74.18445061
37067002605,37,67,2605,0.022225832,1.536065455,100.5556458,138.4016364
37067002606,37,67,2606,0.865884623,0.42019798,121.6471156,110.5049495
37067002701,37,67,2701,-0.677760821,0.164478761,83.05597947,104.111969
37067002702,37,67,2702,-0.989970325,-0.145020987,75.25074188,96.37447532
37067002704,37,67,2704,-0.933691203,-1.045909539,76.65771992,73.85226153
37067002705,37,67,2705,-0.093304256,0.381676439,97.6673936,109.541911
37067002804,37,67,2804,0.938471628,-0.40296628,123.4617907,89.92584299
37067002806,37,67,2806,-0.835341014,0.44083895,79.11647465,111.0209737
37067002903,37,67,2903,1.059975845,-0.804373609,126.4993961,79.89065978
37067003002,37,67,3002,0.53884521,-1.524425783,113.4711302,61.88935543
37067003004,37,67,3004,0.661212994,0.752507948,116.5303248,118.8126987
37067003105,37,67,3105,1.31346863,0.288355188,132.8367158,107.2088797
37067003108,37,67,3108,0.378720001,0.868490149,109.468,121.7122537
37067003201,37,67,3201,0.543307307,0.864917235,113.5826827,121.6229309
37067003202,37,67,3202,-0.451039929,1.005044544,88.72400177,125.1261136
37067003307,37,67,3307,0.288554513,0.916082826,107.2138628,122.9020707
37067003308,37,67,3308,1.606403532,-1.22576029,140.1600883,69.35599275
37067003309,37,67,3309,0.054701193,-0.431856894,101.3675298,89.20357766
37067003310,37,67,3310,1.227415467,-2.145677957,130.6853867,46.35805108
37067003311,37,67,3311,1.537056514,-1.198201045,138.4264128,70.04497387
37067003314,37,67,3314,1.101398618,0.5847969,127.5349654,114.6199225
37067003315,37,67,3315,0.006272417,1.64053817,100.1568104,141.0134543
37067003402,37,67,3402,1.543451383,-0.214698293,138.5862846,94.63254267
37067003403,37,67,3403,-0.560928666,0.406106904,85.97678334,110.1526726
37067003404,37,67,3404,-0.616366205,-0.776005675,84.59084486,80.59985812
37067003500,37,67,3500,-0.079946248,-0.074747571,98.00134381,98.13131073
37067003600,37,67,3600,0.699878012,-1.174552089,117.4969503,70.63619777
37067003701,37,67,3701,-0.791046209,-0.079320987,80.22384478,98.01697534
