GEOID,STATEFP,COUNTYFP,TRACTCE,ParksRec_PerSqMi,TransitStops_PerSqMi,RedlinedAreas_PerSqMi,Brownfields_PerSqMi,Colleges_PerSqMi,MedFacilities_PerSqMi,GroceryStores_PerSqMi,Gas_Stations_PerSqMi,HazWasteFacilit_PerSqMi,Hospitals_PerSqMi,NPDES_PerSqMi,Fire_Stations_PerSqMi,Pharmacies_PerSqMi,Nursing_Homes_PerSqMi,PubLibraries_PerSqMi,PubSchools_PerSqMi,RegUndergStorage_PerSqMi,Jobs_PerSqMi,Pct_Commute_LessThan15Mins,NEAR_REC,NEAR_BRWN,NEAR_HAZ,NEAR_GROC,NEAR_RED,NEAR_MED,NEAR_HOSPITALS,NEAR_LIBRARY,NEAR_INTST,Percent_Impervious,IsoIndex_BW_2020,SimpsonIndex_DivHouseStock,Pct_Pop_hasAccessFiber,Percent_Pop_NoProvider,Interstate_Present,Transit_Route_Indicator,Overall_SelfRespRate,STREETCON
37119001926,37,119,1926,0,0,0,0,0,6.93481276,4.160887656,1.386962552,4.160887656,0,0,0,1.386962552,0,0,0,16.64355062,768.3772538,20.55,0.01349988,0.02083785,0.005319518,0.009256181,0.07421013,0.002306569,0.058805002,0.014817485,0.144104028,59.08440352,0.225555043,0.753496125,46.79600235,0,0,0,58.8,0
37119001927,37,119,1927,2.544529262,0,0,0,0,0,12.72264631,0,2.544529262,0,0,0,5.089058524,0,0,2.544529262,5.089058524,2788.804071,28.65,0.00419256,0.033390794,0.005670557,0.004738229,0.084997401,0.007590871,0.046336316,0.027104852,0.154920313,72.39583135,0.174889984,0.527662427,46.79600235,0,0,0,50,0
37119002004,37,119,2004,1.114206128,0,0,0,0,1.671309192,0,0,0,0,0,0.557103064,0,0,0,0.557103064,9.470752089,806.1281337,22.04,0.005192052,0.044419834,0.034570111,0.011251833,0.062456561,0.005589966,0.043245416,0.044525942,0.168247569,37.43264079,0.300689952,0.591276816,82.02368138,0,0,0,71.3,0
37119002005,37,119,2005,0,0,0,0,0,1.438848921,5.755395684,2.877697842,1.438848921,0,0,0,4.316546763,1.438848921,0,0,21.58273381,2707.913669,15.57,0.015268846,0.034015435,0.010040129,0.008926317,0.037219063,0.005977496,0.032364981,0.032073671,0.154954809,51.27436519,0.614353299,0.802507026,96.12289685,0,0,0,72.1,0
37119002006,37,119,2006,0,0,0,0,0,2.577319588,0,0,0,0,0,0.644329897,0,0.644329897,0,0,18.04123711,325.3865979,18.03,0.021649413,0.025226388,0.015898181,0.015446281,0.044559413,0.00250814,0.046339259,0.033063213,0.14690024,30.75543642,0.718507238,0.191556575,96.12289685,0,0,0,81.3,0
37119002007,37,119,2007,0,0,0,0,0,5.246589717,0,0,0,0,0,0,0,0,0,2.098635887,2.098635887,530.9548793,16.81,0.015155982,0.025829763,0.016628878,0.011792553,0.070484631,0.002640584,0.059138699,0.022397622,0.151997479,39.6281451,0.354743497,0.604948582,98.73496798,0,0,0,77.5,0
37119002008,37,119,2008,0,0,0,0,0,0.693000693,0,0,0,0,0,0,0,0,0,0.693000693,2.079002079,383.9223839,24.62,0.013309166,0.033455383,0.027707232,0.019497939,0.067793014,0.009223631,0.057159745,0.031814318,0.159626942,25.01798868,0.720735849,0.063391938,98.73496798,0,0,0,86.2,0
37119002100,37,119,2100,1.63132137,0,0,0,0,1.63132137,0,1.63132137,0,0,0,0,0,1.63132137,0,0,14.68189233,593.8009788,24.59,0.008066176,0.010877324,0.011371903,0.008950331,0.034072745,0.002461404,0.043631341,0.032583131,0.132455386,52.14446783,0.537924787,0.705756042,100,0,0,0,72.1,0
37119002201,37,119,2201,1.221001221,0,0,0,0,6.105006105,1.221001221,1.221001221,1.221001221,0,0,0,3.663003663,0,0,2.442002442,40.29304029,2444.444444,34.23,0.006721943,0.021595147,0.007453782,0.006080229,0.023391964,0.004710236,0.034106249,0.031591472,0.137905181,47.15135992,0.673161777,0.644399911,96.46956522,0,0,0,72.9,0
37119002202,37,119,2202,0,0,0,0,0,1.166861144,3.500583431,1.166861144,1.166861144,0,0,0,3.500583431,1.166861144,0,0,35.00583431,1626.604434,22.17,0.010664642,0.027095002,0.010460357,0.010874414,0.017058572,0.008423777,0.030831221,0.023366415,0.145411883,46.87121511,0.727696319,0.72874008,96.46956522,0,0,0,72.7,0
37119002300,37,119,2300,2.7100271,0,0,0,0,9.485094851,4.06504065,0,1.35501355,0,0,0,5.420054201,0,0,0,5.420054201,6560.97561,26.03,0.005889974,0.010596211,0.008115078,0.007711941,0.013373478,0.003109667,0.02280901,0.024815667,0.128899961,67.69230962,0.073659869,0.674049278,0,0,0,0,50.5,0
37119002400,37,119,2400,1.814882033,0,5.444646098,0,0,21.77858439,1.814882033,1.814882033,1.814882033,3.629764065,0,0,5.444646098,1.814882033,0,0,29.03811252,9205.08167,25.77,0.006939951,0.005310424,0.00467286,0.004662937,0.00116423,0.002859144,0.004819852,0.013190097,0.125419461,76.17850304,0.640990811,0.741922903,78.94214876,0,0,0,66.7,0
37119002500,37,119,2500,3.378378378,0,10.13513514,10.13513514,3.378378378,11.82432432,1.689189189,0,8.445945946,1.689189189,0,0,3.378378378,1.689189189,0,3.378378378,67.56756757,11146.95946,33.15,0.003995403,0.004235535,0.0041406,0.007143232,0.00216167,0.000901911,0.005173478,0.012151148,0.122137285,91.17646813,0.588783354,0.704258399,49.41653983,0,1,0,67.9,0.444444448
37119002600,37,119,2600,3.676470588,0,14.70588235,0,0,11.02941177,7.352941177,14.70588235,0,0,0,0,11.02941177,0,0,3.676470588,18.38235294,15264.70588,41.84,0.000642041,0.004332522,0.00495554,0.001848952,0.001497226,0.003332102,0.00737058,0.013776475,0.13277606,86.2595439,0.418830415,0.728915744,94.92430988,0,0,0,66.5,0
37119002701,37,119,2701,1.550387597,0,3.100775194,0,0,4.651162791,1.550387597,0,0,0,0,0,6.201550388,1.550387597,1.550387597,0,23.25581395,3269.767442,56.5,0.002355781,0.012614203,0.008610262,0.006220837,0.000514292,0.006999195,0.007533396,0.004633329,0.139817572,49.89189208,0.727092811,0.620375436,92.13836478,0,0,0,71,0
37119002702,37,119,2702,1.516300227,0,0.758150114,0,0.758150114,0,0.758150114,0.758150114,0,0,0,0,0,0,0,0.758150114,53.07050796,6504.927976,50.63,0.009849354,0.030111902,0.014132576,0.009555355,0.005669758,0.010256706,0.020648021,0.017464889,0.158645575,43.45769882,0.705551719,0.54334966,100,0,0,0,75.6,0
37119002800,37,119,2800,0,0,1.846722068,0,0,0,0.923361034,0.923361034,0.923361034,0,0,0.923361034,0,0,0,0.923361034,59.09510619,1470.914127,45.88,0.012247944,0.020841121,0.003044809,0.006191574,0.002124585,0.010620211,0.01766221,0.00804519,0.14080438,39.42093551,0.883476879,0.338119162,82.11660951,0,0,0,81.5,0
37119002903,37,119,2903,0,0,0,0,0.609013398,0.609013398,1.218026797,0.609013398,0,0.609013398,0,0,1.827040195,0,0,0.609013398,13.39829476,3610.840439,21.26,0.018801195,0.050394352,0.014722413,0.00961785,0.037475125,0.009262178,0.012002237,0.011812273,0.171231811,52.38295794,0.723510704,0.75851528,85.67136584,0,0,0,66.2,0
37119002905,37,119,2905,0,0,0,0,0,1.43472023,0.717360115,0,0,0,0,0,0,0,0,0.717360115,31.56384505,338.5939742,27.63,0.024713934,0.042375786,0.015550279,0.013209393,0.021474179,0.01051131,0.023755622,0.018120704,0.160551534,32.11260736,0.773924353,0.511875094,88.77355914,0,0,0,62.5,0
37119002907,37,119,2907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.25210084,875,22.53,0.009253886,0.053518344,0.023620731,0.013178031,0.047654197,0.017227877,0.017547893,0.021301461,0.174381111,37.82004416,0.568794627,0.719189498,90.13073571,0,0,0,70.4,0
37119002908,37,119,2908,0.678426052,0,0,0,0,3.392130258,0.678426052,0.678426052,0,0,0,0,0,2.713704206,0,0,12.21166893,388.0597015,28.26,0.011897783,0.057753687,0.03638539,0.009111248,0.062660932,0.008010903,0.032701065,0.037851553,0.17952335,33.00184906,0.634544771,0.419221296,90.13073571,0,0,0,69.3,0
37119002909,37,119,2909,1.254705144,0,0,0,0,0,2.509410289,2.509410289,1.254705144,0,0,0,2.509410289,0,1.254705144,2.509410289,15.05646173,9826.85069,25.1,0.020843729,0.036277289,0.009169369,0.00815706,0.026784565,0.006584315,0.016449559,0.009359231,0.174072699,70.17467022,0.815631926,0.754475039,76.24424927,0,0,0,52.1,0
